metabolomics_id	hmmf_panel	ms_type	compound	pubchem_id	value	value_ug_ml	value_mm	value_um
1000004.1	Tryptophan	quant	5hiaa	1826	0.34	0.065	0.00034	0.34
1000004.1	Tryptophan	quant	anthranilic acid	227	0.25	0.03428	0.00025	0.25
1000004.1	Tryptophan	quant	kynurenic acid	3845	4.01	0.75857	0.00401	4.01
1000004.1	Tryptophan	quant	kynurenine	846	0.12	0.02499	0.00012	0.12
1000004.1	Tryptophan	quant	melatonin	896	0.0	0.0	0.0	0.0
1000004.1	Tryptophan	quant	niacin	938	1.76	0.21667	0.00176	1.76
1000004.1	Tryptophan	quant	phenylalanine	6140	811.09	133.98396	0.81109	811.09
1000004.1	Tryptophan	quant	serotonin	5202	0.03	0.00529	0.00003	0.03
1000004.1	Tryptophan	quant	tryptamine	1150	0.0	0.0	0.0	0.0
1000004.1	Tryptophan	quant	tryptophan	6305	262.45	53.59754	0.26245	262.45
1000004.1	Tryptophan	quant	tyrosine	6057	651.44	118.03441	0.65144	651.44
1000003.1	Tryptophan	quant	5hiaa	1826	0.17	0.0325	0.00017	0.17
1000003.1	Tryptophan	quant	anthranilic acid	227	0.23	0.03154	0.00023	0.23
1000003.1	Tryptophan	quant	kynurenine	846	0.12	0.02499	0.00012	0.12
1000003.1	Tryptophan	quant	melatonin	896	0.0	0.0	0.0	0.0
1000003.1	Tryptophan	quant	niacin	938	308.33	37.95851	0.30833	308.33
1000003.1	Tryptophan	quant	phenylalanine	6140	481.49	79.53733	0.48149	481.49
1000003.1	Tryptophan	quant	serotonin	5202	0.77	0.13568	0.00077	0.77
1000003.1	Tryptophan	quant	tryptamine	1150	25.38	4.06638	0.02538	25.38
1000003.1	Tryptophan	quant	tryptophan	6305	81.11	16.56428	0.08111	81.11
1000003.1	Tryptophan	quant	tyrosine	6057	364.22	65.99302	0.36422	364.22
1000002.1	Tryptophan	quant	5hiaa	1826	0.06	0.01147	0.00006	0.06
1000002.1	Tryptophan	quant	anthranilic acid	227	0.15	0.02057	0.00015	0.15
1000002.1	Tryptophan	quant	kynurenic acid	3845	0.19	0.03594	0.00019	0.19
1000002.1	Tryptophan	quant	kynurenine	846	0.49	0.10202	0.00049	0.49
1000002.1	Tryptophan	quant	melatonin	896	0.04	0.00929	0.00004	0.04
1000002.1	Tryptophan	quant	niacin	938	102.84	12.66063	0.10284	102.84
1000002.1	Tryptophan	quant	phenylalanine	6140	2160.14	356.83353	2.16014	2160.14
1000002.1	Tryptophan	quant	serotonin	5202	0.59	0.10396	0.00059	0.59
1000002.1	Tryptophan	quant	tryptamine	1150	2.43	0.38933	0.00243	2.43
1000002.1	Tryptophan	quant	tryptophan	6305	394.01	80.46472	0.39401	394.01
1000002.1	Tryptophan	quant	tyrosine	6057	1844.8	334.25931	1.8448	1844.8
1000002.2	Tryptophan	quant	5hiaa	1826	0.89	0.17015	0.00089	0.89
1000002.2	Tryptophan	quant	anthranilic acid	227	0.14	0.0192	0.00014	0.14
1000002.2	Tryptophan	quant	kynurenic acid	3845	0.32	0.06053	0.00032	0.32
1000002.2	Tryptophan	quant	kynurenine	846	0.42	0.08745	0.00042	0.42
1000002.2	Tryptophan	quant	melatonin	896	0.05	0.01161	0.00005	0.05
1000002.2	Tryptophan	quant	niacin	938	60.1	7.39891	0.0601	60.1
1000002.2	Tryptophan	quant	phenylalanine	6140	1662.16	274.57221	1.66216	1662.16
1000002.2	Tryptophan	quant	serotonin	5202	0.52	0.09163	0.00052	0.52
1000002.2	Tryptophan	quant	tryptamine	1150	6.21	0.99497	0.00621	6.21
1000002.2	Tryptophan	quant	tryptophan	6305	344.45	70.34358	0.34445	344.45
1000002.2	Tryptophan	quant	tyrosine	6057	1506.19	272.90657	1.50619	1506.19
1000001.1	Tryptophan	quant	5hiaa	1826	0.1	0.01912	0.0001	0.1
1000001.1	Tryptophan	quant	anthranilic acid	227	0.02	0.00274	0.00002	0.02
1000001.1	Tryptophan	quant	kynurenic acid	3845	1.46	0.27619	0.00146	1.46
1000001.1	Tryptophan	quant	kynurenine	846	0.15	0.03123	0.00015	0.15
1000001.1	Tryptophan	quant	melatonin	896	0.01	0.00232	0.00001	0.01
1000001.1	Tryptophan	quant	niacin	938	0.31	0.03816	0.00031	0.31
1000001.1	Tryptophan	quant	phenylalanine	6140	381.66	63.04642	0.38166	381.66
1000001.1	Tryptophan	quant	serotonin	5202	0.12	0.02115	0.00012	0.12
1000001.1	Tryptophan	quant	tryptamine	1150	0.07	0.01122	0.00007	0.07
1000001.1	Tryptophan	quant	tryptophan	6305	297.33	60.72073	0.29733	297.33
1000001.1	Tryptophan	quant	tyrosine	6057	116.56	21.11951	0.11656	116.56
